sub	run	n_vol	n_censor	p_censor	n_vol_blocks	n_censor_blocks	p_censor_blocks	n_vol_food	n_censor_food	p_censor_food
128	4.0	78.0	1.0	1.3	54.0	1.0	1.9	36.0	1.0	2.8
128	5.0	78.0	15.0	19.2	54.0	11.0	20.4	36.0	7.0	19.4
131	1.0	78.0	0.0	0.0	54.0	0.0	0.0	36.0	0.0	0.0
131	2.0	78.0	0.0	0.0	54.0	0.0	0.0	36.0	0.0	0.0
131	3.0	78.0	0.0	0.0	54.0	0.0	0.0	36.0	0.0	0.0
131	4.0	78.0	7.0	9.0	54.0	6.0	11.1	36.0	5.0	13.9
131	5.0	78.0	0.0	0.0	54.0	0.0	0.0	36.0	0.0	0.0
129	1.0	78.0	0.0	0.0	54.0	0.0	0.0	36.0	0.0	0.0
129	2.0	78.0	0.0	0.0	54.0	0.0	0.0	36.0	0.0	0.0
129	3.0	78.0	0.0	0.0	54.0	0.0	0.0	36.0	0.0	0.0
129	4.0	78.0	0.0	0.0	54.0	0.0	0.0	36.0	0.0	0.0
129	5.0	78.0	0.0	0.0	54.0	0.0	0.0	36.0	0.0	0.0
048	1.0	78.0	4.0	5.1	54.0	2.0	3.7	36.0	2.0	5.6
048	2.0	78.0	1.0	1.3	54.0	0.0	0.0	36.0	0.0	0.0
048	3.0	78.0	4.0	5.1	54.0	2.0	3.7	36.0	2.0	5.6
048	4.0	78.0	2.0	2.6	54.0	2.0	3.7	36.0	2.0	5.6
048	5.0	78.0	6.0	7.7	54.0	3.0	5.6	36.0	3.0	8.3
121	1.0	78.0	0.0	0.0	54.0	0.0	0.0	36.0	0.0	0.0
121	2.0	78.0	0.0	0.0	54.0	0.0	0.0	36.0	0.0	0.0
121	3.0	78.0	0.0	0.0	54.0	0.0	0.0	36.0	0.0	0.0
121	4.0	78.0	0.0	0.0	54.0	0.0	0.0	36.0	0.0	0.0
